High,Low,Open,Close,Volume,actual
2077.340088,2061.969971,2077.340088,2063.360107,2367430000,2060.540039
2062.540039,2043.619995,2060.590088,2043.939941,2655330000,2077.340088
2062.540039,2043.619995,2060.590088,2043.939941,2655330000,2060.590088
2062.540039,2043.619995,2060.590088,2043.939941,2655330000,2060.590088
2062.540039,2043.619995,2060.590088,2043.939941,2655330000,2060.590088
2038.199951,1989.680054,2038.199951,2012.660034,4304880000,2060.590088
2021.939941,2004.170044,2013.780029,2016.709961,3706620000,2038.199951
2011.709961,1979.050049,2011.709961,1990.26001,4336660000,2013.780029
1985.319946,1938.829956,1985.319946,1943.089966,5076590000,2011.709961
1960.400024,1918.459961,1945.969971,1922.030029,4664940000,1985.319946
1960.400024,1918.459961,1945.969971,1922.030029,4664940000,1945.969971
1960.400024,1918.459961,1945.969971,1922.030029,4664940000,1945.969971
1935.650024,1901.099976,1926.119995,1923.670044,4607290000,1945.969971
1947.380005,1914.349976,1927.829956,1938.680054,4887260000,1926.119995
1950.329956,1886.410034,1940.339966,1890.280029,5087030000,1927.829956
1934.469971,1878.930054,1891.680054,1921.839966,5241110000,1940.339966
1916.680054,1857.829956,1916.680054,1880.329956,5468460000,1891.680054
1916.680054,1857.829956,1916.680054,1880.329956,5468460000,1916.680054
1916.680054,1857.829956,1916.680054,1880.329956,5468460000,1916.680054
1916.680054,1857.829956,1916.680054,1880.329956,5468460000,1916.680054
1901.439941,1864.599976,1888.660034,1881.329956,4928350000,1916.680054
1876.180054,1812.290039,1876.180054,1859.329956,6416070000,1888.660034
1889.849976,1848.97998,1861.459961,1868.98999,5078810000,1876.180054
1908.849976,1877.400024,1877.400024,1906.900024,4901760000,1861.459961
1908.849976,1877.400024,1877.400024,1906.900024,4901760000,1877.400024
1908.849976,1877.400024,1877.400024,1906.900024,4901760000,1877.400024
1906.280029,1875.969971,1906.280029,1877.079956,4401380000,1877.400024
1906.72998,1878.790039,1878.790039,1903.630005,4357940000,1906.280029
1916.98999,1872.699951,1902.52002,1882.949951,4754040000,1878.790039
1902.959961,1873.650024,1885.219971,1893.359985,4693010000,1902.52002
1940.23999,1894,1894,1940.23999,5497570000,1885.219971
1940.23999,1894,1894,1940.23999,5497570000,1894
1940.23999,1894,1894,1940.23999,5497570000,1894
1947.199951,1920.300049,1936.939941,1939.380005,4322530000,1894
1935.26001,1897.290039,1935.26001,1903.030029,4463190000,1936.939941
1918.01001,1872.22998,1907.069946,1912.530029,5172950000,1935.26001
1927.349976,1900.52002,1911.670044,1915.449951,5193320000,1907.069946
1913.069946,1872.650024,1913.069946,1880.050049,4929940000,1911.670044
1913.069946,1872.650024,1913.069946,1880.050049,4929940000,1913.069946
1913.069946,1872.650024,1913.069946,1880.050049,4929940000,1913.069946
1873.25,1828.459961,1873.25,1853.439941,5636460000,1913.069946
1868.25,1834.939941,1848.459961,1852.209961,5183220000,1873.25
1881.599976,1850.319946,1857.099976,1851.859985,4471170000,1848.459961
1847,1810.099976,1847,1829.079956,5500800000,1857.099976
1864.780029,1833.400024,1833.400024,1864.780029,4696920000,1847
1864.780029,1833.400024,1833.400024,1864.780029,4696920000,1833.400024
1864.780029,1833.400024,1833.400024,1864.780029,4696920000,1833.400024
1864.780029,1833.400024,1833.400024,1864.780029,4696920000,1833.400024
1895.77002,1871.439941,1871.439941,1895.579956,4570670000,1833.400024
1930.680054,1898.800049,1898.800049,1926.819946,5011540000,1871.439941
1930,1915.089966,1927.569946,1917.829956,4436490000,1898.800049
1918.780029,1902.170044,1916.73999,1917.780029,4142850000,1927.569946
1918.780029,1902.170044,1916.73999,1917.780029,4142850000,1916.73999
1918.780029,1902.170044,1916.73999,1917.780029,4142850000,1916.73999
1946.699951,1924.439941,1924.439941,1945.5,4054710000,1916.73999
1942.380005,1919.439941,1942.380005,1921.27002,3890650000,1924.439941
1932.079956,1891,1917.560059,1929.800049,4317250000,1942.380005
1951.829956,1925.410034,1931.869995,1951.699951,4118210000,1917.560059
1962.959961,1945.780029,1954.949951,1948.050049,4348510000,1931.869995
1962.959961,1945.780029,1954.949951,1948.050049,4348510000,1954.949951
1962.959961,1945.780029,1954.949951,1948.050049,4348510000,1954.949951
1958.27002,1931.810059,1947.130005,1932.22998,4588180000,1954.949951
1978.349976,1937.089966,1937.089966,1978.349976,4819750000,1947.130005
1986.51001,1968.800049,1976.599976,1986.449951,4666610000,1937.089966
1993.689941,1977.369995,1985.599976,1993.400024,5081700000,1976.599976
2009.130005,1986.77002,1994.01001,1999.98999,6049930000,1985.599976
2009.130005,1986.77002,1994.01001,1999.98999,6049930000,1994.01001
2009.130005,1986.77002,1994.01001,1999.98999,6049930000,1994.01001
2006.119995,1989.380005,1996.109985,2001.76001,4968180000,1994.01001
1996.880005,1977.430054,1996.880005,1979.26001,4641650000,1996.109985
1992.689941,1979.839966,1981.439941,1989.26001,4038120000,1996.880005
2005.079956,1969.25,1990.969971,1989.569946,4376790000,1981.439941
2022.369995,1994.709961,1994.709961,2022.189941,4078620000,1990.969971
2022.369995,1994.709961,1994.709961,2022.189941,4078620000,1994.709961
2022.369995,1994.709961,1994.709961,2022.189941,4078620000,1994.709961
2024.569946,2012.050049,2019.27002,2019.640015,3487850000,1994.709961
2015.939941,2005.22998,2015.27002,2015.930054,3560280000,2019.27002
2032.02002,2010.040039,2014.23999,2027.219971,4057020000,2015.27002
2046.23999,2022.160034,2026.900024,2040.589966,4530480000,2014.23999
2052.360107,2041.160034,2041.160034,2049.580078,6503140000,2026.900024
2052.360107,2041.160034,2041.160034,2049.580078,6503140000,2041.160034
2052.360107,2041.160034,2041.160034,2049.580078,6503140000,2041.160034
2053.909912,2043.140015,2047.880005,2051.600098,3376600000,2041.160034
2056.600098,2040.569946,2048.639893,2049.800049,3418460000,2047.880005
2048.550049,2034.859985,2048.550049,2036.709961,3639510000,2048.639893
2036.040039,2022.48999,2032.47998,2035.939941,3407720000,2048.550049
2036.040039,2022.48999,2032.47998,2035.939941,3407720000,2032.47998
2036.040039,2022.48999,2032.47998,2035.939941,3407720000,2032.47998
2036.040039,2022.48999,2032.47998,2035.939941,3407720000,2032.47998
2042.670044,2031.959961,2037.890015,2037.050049,2809090000,2032.47998
2055.909912,2028.310059,2035.75,2055.01001,3822330000,2037.890015
2072.209961,2058.27002,2058.27002,2063.949951,3590310000,2035.75
2067.919922,2057.459961,2063.77002,2059.73999,3715280000,2058.27002
2075.070068,2043.97998,2056.620117,2072.780029,3749990000,2063.77002
2075.070068,2043.97998,2056.620117,2072.780029,3749990000,2056.620117
2075.070068,2043.97998,2056.620117,2072.780029,3749990000,2056.620117
2074.02002,2062.570068,2073.189941,2066.129883,3485710000,2056.620117
2062.5,2042.560059,2062.5,2045.170044,4154920000,2073.189941
2067.330078,2043.089966,2045.560059,2066.659912,3750800000,2062.5
2063.01001,2033.800049,2063.01001,2041.910034,3801250000,2045.560059
2060.629883,2041.689941,2045.540039,2047.599976,3359530000,2063.01001
2060.629883,2041.689941,2045.540039,2047.599976,3359530000,2045.540039
2060.629883,2041.689941,2045.540039,2047.599976,3359530000,2045.540039
2062.929932,2041.880005,2050.22998,2041.98999,3567840000,2045.540039
2065.050049,2039.73999,2043.719971,2061.719971,4239740000,2050.22998
2083.179932,2065.919922,2065.919922,2082.419922,4191830000,2043.719971
2087.840088,2078.129883,2082.889893,2082.780029,3765870000,2065.919922
2083.219971,2076.310059,2083.100098,2080.72998,3701450000,2082.889893
2083.219971,2076.310059,2083.100098,2080.72998,3701450000,2083.100098
2083.219971,2076.310059,2083.100098,2080.72998,3701450000,2083.100098
2094.659912,2073.649902,2078.830078,2094.340088,3316880000,2083.100098
2104.050049,2091.679932,2096.050049,2100.800049,3896830000,2078.830078
2111.050049,2096.320068,2101.52002,2102.399902,4184880000,2096.050049
2103.780029,2088.52002,2102.090088,2091.47998,4175290000,2101.52002
2094.320068,2081.199951,2091.48999,2091.580078,3790580000,2102.090088
2094.320068,2081.199951,2091.48999,2091.580078,3790580000,2091.48999
2094.320068,2081.199951,2091.48999,2091.580078,3790580000,2091.48999
